Brottstyp,Område,År,Rate,Stockholm_Rate,Deviation_Percent
Misshandel,Bromma,2021.0,581.0,1004.0,-42.1
Hot & olaga intrång,Bromma,2021.0,1000.0,1380.0,-27.5
Sexualbrott,Bromma,2021.0,209.0,257.0,-18.7
Bilstöld,Bromma,2021.0,101.0,191.0,-47.1
Cykelstöld,Bromma,2021.0,897.0,940.0,-4.6
Stöld från fordon,Bromma,2021.0,745.0,808.0,-7.8
Bostadsinbrott,Bromma,2021.0,233.0,485.0,-52.0
Rån,Bromma,2021.0,69.0,132.0,-47.7
Skadegörelse,Bromma,2021.0,5418.0,8819.0,-38.6
Narkotikabrott,Bromma,2021.0,599.0,1462.0,-59.0
Misshandel,Hägersten-Älvsjö,2021.0,755.0,1004.0,-24.8
Hot & olaga intrång,Hägersten-Älvsjö,2021.0,1070.0,1380.0,-22.5
Sexualbrott,Hägersten-Älvsjö,2021.0,216.0,257.0,-16.0
Bilstöld,Hägersten-Älvsjö,2021.0,106.0,191.0,-44.5
Cykelstöld,Hägersten-Älvsjö,2021.0,959.0,940.0,2.0
Stöld från fordon,Hägersten-Älvsjö,2021.0,795.0,808.0,-1.6
Bostadsinbrott,Hägersten-Älvsjö,2021.0,161.0,485.0,-66.8
Rån,Hägersten-Älvsjö,2021.0,118.0,132.0,-10.6
Skadegörelse,Hägersten-Älvsjö,2021.0,10415.0,8819.0,18.1
Narkotikabrott,Hägersten-Älvsjö,2021.0,748.0,1462.0,-48.8
Misshandel,Bromma,2022.0,558.0,978.0,-42.9
Hot & olaga intrång,Bromma,2022.0,931.0,1309.0,-28.9
Sexualbrott,Bromma,2022.0,211.0,240.0,-12.1
Bilstöld,Bromma,2022.0,110.0,171.0,-35.7
Cykelstöld,Bromma,2022.0,575.0,699.0,-17.7
Stöld från fordon,Bromma,2022.0,665.0,652.0,2.0
Bostadsinbrott,Bromma,2022.0,154.0,399.0,-61.4
Rån,Bromma,2022.0,66.0,104.0,-36.5
Skadegörelse,Bromma,2022.0,6185.0,7637.0,-19.0
Narkotikabrott,Bromma,2022.0,690.0,1547.0,-55.4
Misshandel,Hägersten-Älvsjö,2022.0,630.0,978.0,-35.6
Hot & olaga intrång,Hägersten-Älvsjö,2022.0,1000.0,1309.0,-23.6
Sexualbrott,Hägersten-Älvsjö,2022.0,172.0,240.0,-28.3
Bilstöld,Hägersten-Älvsjö,2022.0,71.0,171.0,-58.5
Cykelstöld,Hägersten-Älvsjö,2022.0,773.0,699.0,10.6
Stöld från fordon,Hägersten-Älvsjö,2022.0,587.0,652.0,-10.0
Bostadsinbrott,Hägersten-Älvsjö,2022.0,121.0,399.0,-69.7
Rån,Hägersten-Älvsjö,2022.0,83.0,104.0,-20.2
Skadegörelse,Hägersten-Älvsjö,2022.0,8936.0,7637.0,17.0
Narkotikabrott,Hägersten-Älvsjö,2022.0,691.0,1547.0,-55.3
Misshandel,Bromma,2023.0,615.0,1017.0,-39.5
Hot & olaga intrång,Bromma,2023.0,1218.0,1511.0,-19.4
Sexualbrott,Bromma,2023.0,230.0,240.0,-4.2
Bilstöld,Bromma,2023.0,92.0,138.0,-33.3
Cykelstöld,Bromma,2023.0,606.0,645.0,-6.0
Stöld från fordon,Bromma,2023.0,491.0,645.0,-23.9
Bostadsinbrott,Bromma,2023.0,117.0,376.0,-68.9
Rån,Bromma,2023.0,56.0,97.0,-42.3
Skadegörelse,Bromma,2023.0,7557.0,8939.0,-15.5
Narkotikabrott,Bromma,2023.0,622.0,1537.0,-59.5
Misshandel,Hägersten-Älvsjö,2023.0,635.0,1017.0,-37.6
Hot & olaga intrång,Hägersten-Älvsjö,2023.0,1147.0,1511.0,-24.1
Sexualbrott,Hägersten-Älvsjö,2023.0,253.0,240.0,5.4
Bilstöld,Hägersten-Älvsjö,2023.0,83.0,138.0,-39.9
Cykelstöld,Hägersten-Älvsjö,2023.0,568.0,645.0,-11.9
Stöld från fordon,Hägersten-Älvsjö,2023.0,450.0,645.0,-30.2
Bostadsinbrott,Hägersten-Älvsjö,2023.0,112.0,376.0,-70.2
Rån,Hägersten-Älvsjö,2023.0,79.0,97.0,-18.6
Skadegörelse,Hägersten-Älvsjö,2023.0,8458.0,8939.0,-5.4
Narkotikabrott,Hägersten-Älvsjö,2023.0,635.0,1537.0,-58.7
Misshandel,Bromma,2024.0,617.0,1039.0,-40.6
Hot & olaga intrång,Bromma,2024.0,1396.0,1756.0,-20.5
Sexualbrott,Bromma,2024.0,244.0,257.0,-5.1
Bilstöld,Bromma,2024.0,58.0,122.0,-52.5
Cykelstöld,Bromma,2024.0,675.0,653.0,3.4
Stöld från fordon,Bromma,2024.0,318.0,432.0,-26.4
Bostadsinbrott,Bromma,2024.0,205.0,397.0,-48.4
Rån,Bromma,2024.0,37.0,66.0,-43.9
Skadegörelse,Bromma,2024.0,6878.0,7379.0,-6.8
Narkotikabrott,Bromma,2024.0,662.0,1655.0,-60.0
Misshandel,Hägersten-Älvsjö,2024.0,767.0,1039.0,-26.2
Hot & olaga intrång,Hägersten-Älvsjö,2024.0,1482.0,1756.0,-15.6
Sexualbrott,Hägersten-Älvsjö,2024.0,262.0,257.0,1.9
Bilstöld,Hägersten-Älvsjö,2024.0,78.0,122.0,-36.1
Cykelstöld,Hägersten-Älvsjö,2024.0,622.0,653.0,-4.7
Stöld från fordon,Hägersten-Älvsjö,2024.0,372.0,432.0,-13.9
Bostadsinbrott,Hägersten-Älvsjö,2024.0,127.0,397.0,-68.0
Rån,Hägersten-Älvsjö,2024.0,57.0,66.0,-13.6
Skadegörelse,Hägersten-Älvsjö,2024.0,5843.0,7379.0,-20.8
Narkotikabrott,Hägersten-Älvsjö,2024.0,827.0,1655.0,-50.0
Misshandel,Bromma,2025.0,603.0,1072.0,-43.8
Hot & olaga intrång,Bromma,2025.0,1372.0,1792.0,-23.4
Sexualbrott,Bromma,2025.0,253.0,283.0,-10.6
Bilstöld,Bromma,2025.0,51.0,85.0,-40.0
Cykelstöld,Bromma,2025.0,600.0,580.0,3.4
Stöld från fordon,Bromma,2025.0,343.0,362.0,-5.2
Bostadsinbrott,Bromma,2025.0,199.0,360.0,-44.7
Rån,Bromma,2025.0,23.0,50.0,-54.0
Skadegörelse,Bromma,2025.0,3957.0,6208.0,-36.3
Narkotikabrott,Bromma,2025.0,735.0,1642.0,-55.2
Misshandel,Hägersten-Älvsjö,2025.0,773.0,1072.0,-27.9
Hot & olaga intrång,Hägersten-Älvsjö,2025.0,1507.0,1792.0,-15.9
Sexualbrott,Hägersten-Älvsjö,2025.0,279.0,283.0,-1.4
Bilstöld,Hägersten-Älvsjö,2025.0,50.0,85.0,-41.2
Cykelstöld,Hägersten-Älvsjö,2025.0,570.0,580.0,-1.7
Stöld från fordon,Hägersten-Älvsjö,2025.0,273.0,362.0,-24.6
Bostadsinbrott,Hägersten-Älvsjö,2025.0,75.0,360.0,-79.2
Rån,Hägersten-Älvsjö,2025.0,43.0,50.0,-14.0
Skadegörelse,Hägersten-Älvsjö,2025.0,5593.0,6208.0,-9.9
Narkotikabrott,Hägersten-Älvsjö,2025.0,869.0,1642.0,-47.1
